Key,Doc Num,Frequency,IDF
154,2,2,7.313220387090301
793,1,1,8.006367567650246
025,1,1,8.006367567650246
shell,1,2,8.006367567650246
dung,6,6,6.214608098422191
an_ninh,17,18,5.173154223594031
khí_hậu,7,8,6.060457418594933
nhẹ,17,25,5.173154223594031
phiên_giảm,3,3,6.907755278982137
kho_bạc,1,1,8.006367567650246
nasdaq,1,1,8.006367567650246
composite,1,1,8.006367567650246
nhnn,9,11,5.809142990314028
phép,17,22,5.173154223594031
tối_đa,8,9,5.926926025970411
tctd,1,1,8.006367567650246
chuyển_giao,1,2,8.006367567650246
bắt_buộc,11,11,5.608472294851876
31,29,32,4.639071737663773
sài_gòn,6,8,6.214608098422191
lương_thực,6,10,6.214608098422191
đấu_giá,8,10,5.926926025970411
1232023,1,1,8.006367567650246
2030,15,25,5.298317366548036
308,1,1,8.006367567650246
kết_cấu_hạ_tầng,2,3,7.313220387090301
nghiêm_minh,1,1,8.006367567650246
hành_vi,19,19,5.061928588483807
hoàng_đạo,2,4,7.313220387090301
tử,9,11,5.809142990314028
quan_điểm,11,11,5.608472294851876
tình_yêu,9,11,5.809142990314028
đắm_chìm,1,1,8.006367567650246
mãi,10,10,5.703782474656201
tốt_bụng,2,3,7.313220387090301
hhv,3,3,6.907755278982137
cầu,29,40,4.639071737663773
nhà_thầu,10,12,5.703782474656201
đèo,3,6,6.907755278982137
phó_tổng_giám_đốc,3,3,6.907755278982137
huy,8,12,5.926926025970411
khuyến_khích,3,3,6.907755278982137
giám_sát,7,8,6.060457418594933
thi_công,8,11,5.926926025970411
công_trình,10,14,5.703782474656201
đường_bộ,4,4,6.620073206530356
cao_tốc,7,13,6.060457418594933
đoạn,19,22,5.061928588483807
quảng_ngãi,5,6,6.396929655216146
hoài_nhơn,1,1,8.006367567650246
đấu_thầu,5,7,6.396929655216146
văn_bản,13,14,5.44141821018871
chuyên_ngành,1,1,8.006367567650246
trực_thuộc,13,18,5.44141821018871
sở,31,38,4.5723803631651005
cải_thiện,21,22,4.961845129926823
tương_đối,6,6,6.214608098422191
1060,2,2,7.313220387090301
fubon,1,2,8.006367567650246
etf,3,5,6.907755278982137
lũy,1,1,8.006367567650246
153,3,3,6.907755278982137
ì,1,1,8.006367567650246
kiên_nhẫn,4,4,6.620073206530356
pvt,1,2,8.006367567650246
hầu_như,4,4,6.620073206530356
